project,technique,precision,recall,wasted,bug id,original score percentage,f-score,expense,t-score,cost,exam-score,bug index,changed files,changed functions
Collections,BRTracer,0.139299885,0.139299885,4,444,0.2,0.139299885,80,80,0.8,80,135,1,1
Collections,BRTracer,0.14320224,0.14320224,2,566,0.2,0.14320224,40,40,0.4,40,70,1,3
Collections,BRTracer,0.134752056,0.134752056,2,631,0.2,0.134752056,40,40,0.4,40,33,1,1
Collections,BRTracer,0.937269303,0.937269303,0,551,0.2,0.937269303,0,0,0,0,78,1,1
Collections,BRTracer,0,0,5,339,0.2,0,100,100,1,100,194,1,2
Collections,BRTracer,0,0,7,483,0.2,0,100,100,1,100,121,1,3
Collections,BRTracer,0.059723753,0.059723753,2,516,0.2,0.059723753,40,40,0.4,40,93,1,1
Collections,BRTracer,0,0,5,211,0.2,0,100,100,1,100,247,1,1
Collections,BRTracer,0.125056221,0.125056221,0,624,0.2,0.125056221,0,0,0,0,39,1,1
Collections,BRTracer,0.745229656,0.254468663,1.666666667,261,0.2,0.379389643,27.77777778,27.77777778,0.277777778,0,220,1,3
Collections,BRTracer,0,0,5,597,0.2,0,100,100,1,100,52,1,2
Collections,BRTracer,0.109472292,0.109472292,3.5,550,0.2,0.109472292,58.33333333,58.33333333,0.583333333,50,76,1,2
Collections,BRTracer,0.249999966,0.249999966,3,511,0.2,0.249999966,75,75,0.75,75,100,1,1
Collections,BRTracer,0.089694639,0.089694639,0,566,0.2,0.089694639,0,0,0,0,69,3,4
