technique,bug id,num of files that changed,num of files that changed no tests,first index exist files,max index exist files,num of files checked exist files,all indexes,first index exist files no tests,max index exist files no tests,num of files checked exist files no tests,all indexes no tests,average similarity
BugLocator,IO-343,2,0,122,122,122,"[122, 122]",-1,-1,122,[],0
BugLocator,IO-323,1,0,122,122,122,[122],-1,-1,122,[],0
BugLocator,IO-299,1,1,20,20,122,[20],20,20,122,[20],0.10237435
BugLocator,IO-117,3,2,57,57,57,"[57, 57, 57]",57,57,57,"[57, 57]",0.0
BugLocator,IO-260,3,2,103,103,103,"[103, 103, 103]",103,103,103,"[103, 103]",0.0
BugLocator,IO-263,2,2,36,45,103,"[36, 45]",36,45,103,"[36, 45]",0.0460151335
BugLocator,IO-274,1,1,16,16,103,[16],16,16,103,[16],0.2
BugLocator,IO-266,1,0,103,103,103,[103],-1,-1,103,[],0
BugLocator,IO-277,2,1,2,103,103,"[2, 103]",2,2,103,[2],0.38720798
BugLocator,IO-264,1,1,45,45,103,[45],45,45,103,[45],0.01615077
BugLocator,IO-243,1,0,103,103,103,[103],-1,-1,103,[],0
BugLocator,IO-207,1,1,1,1,103,[1],1,1,103,[1],0.7316233
BugLocator,IO-231,1,1,62,62,103,[62],62,62,103,[62],0.03553414
BugLocator,IO-209,1,1,4,4,103,[4],4,4,103,[4],0.22920743
BugLocator,IO-190,1,0,103,103,103,[103],-1,-1,103,[],0
BugLocator,IO-202,1,0,103,103,103,[103],-1,-1,103,[],0
BugLocator,IO-163,1,1,65,65,103,[65],65,65,103,[65],0.04052609
BugLocator,IO-248,1,1,2,2,103,[2],2,2,103,[2],0.40607047
BugLocator,IO-180,1,1,93,93,103,[93],93,93,103,[93],0.008223812
BugLocator,IO-206,2,1,24,103,103,"[24, 103]",24,24,103,[24],0.06457937
BugLocator,IO-201,1,0,103,103,103,[103],-1,-1,103,[],0
BugLocator,IO-216,2,0,103,103,103,"[103, 103]",-1,-1,103,[],0
BugLocator,IO-223,2,1,28,103,103,"[28, 103]",28,28,103,[28],0.27921233
BugLocator,IO-212,1,1,21,21,103,[21],21,21,103,[21],0.16338676
BugLocator,IO-246,1,0,103,103,103,[103],-1,-1,103,[],0
BugLocator,IO-217,1,1,100,100,103,[100],100,100,103,[100],0.0
BugLocator,IO-185,1,1,4,4,103,[4],4,4,103,[4],0.2954409
BugLocator,IO-161,1,1,18,18,103,[18],18,18,103,[18],0.104882486
BugLocator,IO-179,16,7,11,103,103,"[69, 75, 41, 88, 82, 11, 93, 103, 103, 103, 103, 103, 103, 103, 103, 103]",11,93,103,"[69, 75, 41, 88, 82, 11, 93]",0.037381985799999996
BugLocator,IO-160,1,1,1,1,103,[1],1,1,103,[1],0.42482954
BugLocator,IO-167,2,1,6,103,103,"[6, 103]",6,6,103,[6],0.48027205
BugLocator,IO-220,1,1,3,3,103,[3],3,3,103,[3],0.4027859
BugLocator,IO-187,4,0,103,103,103,"[103, 103, 103, 103]",-1,-1,103,[],0
BugLocator,IO-168,1,1,0,0,103,[0],0,0,103,[0],0.83652323
BugLocator,IO-166,1,1,0,0,103,[0],0,0,103,[0],0.99971694
BugLocator,IO-112,1,1,56,56,56,[56],56,56,56,[56],0.0
BugLocator,IO-113,1,1,0,0,56,[0],0,0,56,[0],0.8
BugLocator,IO-90,7,1,56,56,56,"[56, 56, 56, 56, 56, 56, 56]",56,56,56,[56],0.0
BugLocator,IO-93,2,1,4,56,56,"[4, 56]",4,4,56,[4],0.5411332
BugLocator,IO-91,1,1,3,3,56,[3],3,3,56,[3],0.14311081
BugLocator,IO-101,2,1,56,56,56,"[56, 56]",56,56,56,[56],0.0
BugLocator,IO-100,2,1,56,56,56,"[56, 56]",56,56,56,[56],0.0
BugLocator,IO-99,1,1,56,56,56,[56],56,56,56,[56],0.0
BugLocator,IO-83,4,4,18,56,56,"[18, 56, 56, 56]",18,56,56,"[18, 56, 56, 56]",0.04709297
BugLocator,IO-84,2,1,1,56,56,"[1, 56]",1,1,56,[1],0.7050168
BugLocator,IO-257,1,0,103,103,103,[103],-1,-1,103,[],0
BugLocator,IO-258,2,0,103,103,103,"[103, 103]",-1,-1,103,[],0
BugLocator,IO-147,1,1,33,33,74,[33],33,33,74,[33],0.115616955
BugLocator,IO-136,1,1,74,74,74,[74],74,74,74,[74],0.0
BugLocator,IO-141,1,1,5,5,74,[5],5,5,74,[5],0.22385684
BugLocator,IO-331,3,0,107,107,107,"[107, 107, 107]",-1,-1,107,[],0
BugLocator,IO-336,2,2,82,84,107,"[82, 84]",82,84,107,"[82, 84]",0.0
BugLocator,IO-329,2,1,1,107,107,"[1, 107]",1,1,107,[1],0.8
BugLocator,IO-319,3,1,0,107,107,"[0, 107, 107]",0,0,107,[0],0.8
BugLocator,IO-306,2,1,102,106,106,"[102, 106]",102,102,106,[102],0.0
BugLocator,IO-307,4,0,106,106,106,"[106, 106, 106, 106]",-1,-1,106,[],0
BugLocator,IO-303,2,1,101,106,106,"[101, 106]",101,101,106,[101],0.0
BugLocator,IO-304,2,1,31,106,106,"[31, 106]",31,31,106,[31],0.029482936
BugLocator,IO-298,2,1,23,106,106,"[23, 106]",23,23,106,[23],0.06441646
BugLocator,IO-302,4,2,5,106,106,"[5, 67, 106, 106]",5,67,106,"[5, 67]",0.09893223899999999
