method,project,MAP,MRR,TOP-K,average similarity
BRTracer,Io,0.05546349174576595,0.17210783748051864,0.41423826063344743,0.2277362728602485
BugLocator,Io,0.06361845275702546,0.19608613414630355,0.43080287929371136,0.23175226472391308
20_Topics,Io,0.0770018163358794,0.23974766685265037,0.26469410780550456,0.5881213461353537
40_Topics,Io,0.1257958331231778,0.38125459058655675,0.2210399352489703,0.5053691790514656
60_Topics,Io,0.14164441169692943,0.4409799347085605,0.22729649586209763,0.47882559098833344
80_Topics,Io,0.12361643450712856,0.38762811197465485,0.2316821657807821,0.41421627871303535
100_Topics,Io,0.14279302254118376,0.4390757966377526,0.2055453621383521,0.39878343370681585
120_Topics,Io,0.15561655014688322,0.47672384599663237,0.19288195694598248,0.45173623944926783
140_Topics,Io,0.1593796480031879,0.4931863165623718,0.21443735347899684,0.35043789907435835
160_Topics,Io,0.1509346874125519,0.464850825780339,0.19189927732977263,0.3646644388840808
180_Topics,Io,0.14235150436596328,0.43634367015423847,0.1937056507857594,0.34663713884003183
200_Topics,Io,0.14609797494072085,0.4552741211806793,0.19885347561339245,0.3896348142202616
220_Topics,Io,0.16576060393494743,0.5152636994551233,0.1908991365848586,0.42628036182690154
240_Topics,Io,0.16016480292446542,0.49412190748189494,0.1681271876743418,0.3821203995629261
260_Topics,Io,0.1507708106957682,0.45410771629139396,0.2195606828440215,0.40351166311485837
280_Topics,Io,0.1278677243634582,0.38768278167588816,0.2056970609096045,0.3206110484736532
300_Topics,Io,0.15341547758087085,0.4614487424993138,0.19114063032994535,0.3397663008226548
320_Topics,Io,0.1542495452882467,0.47398129776800346,0.21958474840697867,0.3898676186055819
340_Topics,Io,0.14863654948260033,0.45817742319000515,0.16884926369853767,0.32556050677635395
360_Topics,Io,0.16242886400408943,0.5114613347632962,0.2172813274394341,0.3795531579065734
380_Topics,Io,0.16559293931918875,0.49886746758655726,0.188774465593178,0.3374929989282538
400_Topics,Io,0.16093736701566413,0.49921224145870363,0.19957214676179286,0.33371375421486454
420_Topics,Io,0.16429684821894455,0.4985976678408102,0.2049204824679985,0.3690341822232769
440_Topics,Io,0.1588819389442536,0.4812230648031518,0.19444187514272013,0.3336221544276627
460_Topics,Io,0.15028055819896086,0.4671054932739668,0.19177850431771282,0.35721142000986456
480_Topics,Io,0.16058602893394297,0.49451308362169416,0.22956387738239864,0.3632449079476754
500_Topics,Io,0.15527589569827646,0.47892567554326243,0.20620907089663412,0.34651366037888004
520_Topics,Io,0.13097080517302004,0.40911796836768966,0.20713604126138005,0.21907922391437187
540_Topics,Io,0.14949368705850344,0.4498964348396502,0.1824835656847028,0.3214450875078716
560_Topics,Io,0.17394528621997116,0.524903587420419,0.18379699361262067,0.3643528616330254
580_Topics,Io,0.1684848294265187,0.5134723147564878,0.19554804535955447,0.35999767216964307
600_Topics,Io,0.16313302742306246,0.5071253838705445,0.1811619293185668,0.32575731301047545
