project,technique,precision,recall,wasted,f-score,expense,t-score,cost,exam-score
Cli,using MRR,0,0,0,0,0,0,0,0
Cli,using avg sim,0,0,0,0,0,0,0,0
Codec,using MRR,0,0,0,0,0,0,0,0
Codec,using avg sim,0,0,0,0,0,0,0,0
Collections,using MRR,0,0,0,0,0,0,0,0
Collections,using avg sim,0,0,0,0,0,0,0,0
Compress,using MRR,0,0,0,0,0,0,0,0
Compress,using avg sim,0,0,0,0,0,0,0,0
Csv,using MRR,0,0,0,0,0,0,0,0
Csv,using avg sim,0,0,0,0,0,0,0,0
Io,using MRR,0,0,0,0,0,0,0,0
Io,using avg sim,0,0,0,0,0,0,0,0
JxPath,using MRR,0,0,0,0,0,0,0,0
JxPath,using avg sim,0,0,0,0,0,0,0,0
Lang,using MRR,0,0,0,0,0,0,0,0
Lang,using avg sim,0,0,0,0,0,0,0,0
Net,using MRR,0,0,0,0,0,0,0,0
Net,using avg sim,0,0,0,0,0,0,0,0
